"Date","UserAgent","IP Address","Page visited","Referer","Platform","OS","Browser","MajorVer","MinorVer","IsBeta","Special"
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/2.02 (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","2","02","False",""
"4/13/2001","Mozilla/2.02Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","2","02","False","Gold"
"4/13/2001","Mozilla/2.02Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","2","02","False","Gold"
"4/13/2001","Mozilla/3.0 (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","0","False",""
"4/13/2001","Mozilla/3.01 (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","01","False",""
"4/13/2001","Mozilla/3.02 (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","02","False",""
"4/13/2001","Mozilla/3.03 (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","03","False",""
"4/13/2001","Mozilla/3.04 (WinNT; U)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","04","False",""
"4/13/2001","Mozilla/3.0Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","0","False","Gold"
"4/13/2001","Mozilla/3.01Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","01","False","Gold"
"4/13/2001","Mozilla/3.02Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","02","False","Gold"
"4/13/2001","Mozilla/3.03Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","03","False","Gold"
"4/13/2001","Mozilla/3.04Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","04","False","Gold"
"4/13/2001","Mozilla/4.04 [en] (WinNT; U)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","04","False",""
"4/14/2001","Mozilla/4.03 [en] (WinNT; U ;Nav)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","03","False",""
"4/14/2001","Mozilla/4.03 [en] (WinNT; U ;Nav)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","03","False","Navigator Only"
"4/14/2001","Mozilla/4.04 [en] (WinNT; U ;Nav)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","04","False","Navigator Only"
"4/14/2001","Mozilla/4.05 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","05","False",""
"4/14/2001","Mozilla/4.07 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","07","False",""
"4/14/2001","Mozilla/4.08 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","08","False",""
"4/14/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/14/2001","Mozilla/4.08 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","08","False",""
"4/14/2001","Mozilla/4.08 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","08","False",""
"4/14/2001","Mozilla/4.08 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","08","False",""
"4/14/2001","Mozilla/4.08 [en] (WinNT; U ;Nav)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","08","False","Navigator Only"
"4/14/2001","Mozilla/4.5 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","5","False",""
"4/14/2001","Mozilla/4.51 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","51","False",""
"4/14/2001","Mozilla/4.61 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","61","False",""
"4/14/2001","Mozilla/4.07 [en] (WinNT; I ;Nav)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","07","False","Navigator Only"
"4/14/2001","Mozilla/3.04Gold (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","3","04","False","Gold"
"4/14/2001","Mozilla/4.07 [en] (WinNT; I ;Nav)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","07","False","Navigator Only"
"4/14/2001","Mozilla/4.07 [en] (WinNT; I ;Nav)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","07","False","Navigator Only"
"4/14/2001","Mozilla/4.7 [en] (WinNT; I)","127.0.0.1","/class.browser.test.asp","","x86","WinNT","NS","4","7","False",""
"4/14/2001","Mozilla/4.72 [en] (Windows NT 5.0; I)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","NS","4","72","False",""
"4/14/2001","Mozilla/4.73 [en] (Windows NT 5.0; I)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","NS","4","73","False",""
"4/14/2001","Mozilla/4.74 [en] (Windows NT 5.0; U)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","NS","4","74","False",""
"4/14/2001","Mozilla/4.75 [en] (Windows NT 5.0; U)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","NS","4","75","False",""
"4/14/2001","Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; m18) Gecko/20001108 Netscape6/6.0","127.0.0.1","/class.browser.test.asp","","x86","Win2k","NS","5","0","False",""
"4/14/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/14/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/14/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204; MSN 6.0)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False","MSN Explorer"
